date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-09-24,P2701,国泰君安,62757,3333,41294,-1517,1
2026-09-24,P2701,中信期货,30650,168,58480,1566,2
2026-09-24,P2701,东证期货,43978,1982,35365,-953,3
2026-09-24,P2701,高盛期货,0,0,50823,155,4
2026-09-24,P2701,摩根大通,26405,-3140,21472,110,5
2026-09-24,P2701,中粮期货,24093,-1211,21367,-2621,6
2026-09-24,P2701,永安期货,21020,-751,12415,-712,7
2026-09-24,P2701,海通期货,12585,964,19039,-435,8
2026-09-24,P2701,国投期货,16685,-647,11077,-438,9
2026-09-24,P2701,华泰期货,14165,-671,13215,-532,10
2026-09-24,P2701,一德期货,24052,22,0,0,11
2026-09-24,P2701,广发期货,12138,-1196,8555,-319,12
2026-09-24,P2701,中信建投,12250,-370,8190,234,13
2026-09-24,P2701,银河期货,7103,-983,11976,-1389,14
2026-09-24,P2701,国富期货,0,0,17906,-469,15
2026-09-24,P2701,浙商期货,0,0,17110,-172,16
2026-09-24,P2701,中金财富,0,0,14775,-406,17
2026-09-24,P2701,国贸期货,0,0,13344,1168,18
2026-09-24,P2701,建信期货,0,0,13263,-1979,19
2026-09-24,P2701,宏源期货,12672,55,0,0,20
2026-09-24,P2701,申银万国,11659,-380,0,0,21
2026-09-24,P2701,瑞达期货,0,0,11138,-1255,22
2026-09-24,P2701,南华期货,0,0,9577,-83,23
2026-09-24,P2701,光大期货,8521,-413,0,0,24
2026-09-24,P2701,兴证期货,7261,70,0,0,25
2026-09-24,P2701,国元期货,6833,-437,0,0,26
2026-09-24,P2701,创元期货,6652,-490,0,0,27
2026-09-24,P2701,中泰期货,6512,-805,0,0,28
