date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-09-24,A,国泰君安,58625,681,56735,-1012,1
2026-09-24,A,中信期货,54830,544,55674,-1595,2
2026-09-24,A,银河期货,35043,-317,47819,4429,3
2026-09-24,A,海通期货,39458,-485,37123,-104,4
2026-09-24,A,东证期货,35060,-1450,36562,-1199,5
2026-09-24,A,广发期货,21620,123,23631,-740,6
2026-09-24,A,中粮期货,22263,-271,14809,8,7
2026-09-24,A,华泰期货,14296,-455,19015,-2065,8
2026-09-24,A,中信建投,17387,-1220,15748,-487,9
2026-09-24,A,中泰期货,13717,686,19404,349,10
2026-09-24,A,高盛期货,8729,1232,23966,-1645,11
2026-09-24,A,南华期货,7795,673,22666,-100,12
2026-09-24,A,创元期货,10113,572,12985,33,13
2026-09-24,A,摩根大通,21894,2355,0,0,14
2026-09-24,A,一德期货,11955,-193,9234,410,15
2026-09-24,A,申银万国,7900,-355,12745,293,16
2026-09-24,A,国投期货,11128,-164,7704,758,17
2026-09-24,A,永安期货,5033,-1664,13465,1593,18
2026-09-24,A,东吴期货,10905,2049,5580,-465,19
2026-09-24,A,浙商期货,9321,198,6262,43,20
2026-09-24,AG,中信期货,21890,-1780,57280,477,1
2026-09-24,AG,国泰君安,28680,-2121,41055,-1321,2
2026-09-24,AG,银河期货,25478,-222,12952,1,3
2026-09-24,AG,东证期货,19270,-3253,15150,-909,4
2026-09-24,AG,金瑞期货,12754,-904,15079,132,5
2026-09-24,AG,国投期货,18460,-364,615,-661,6
2026-09-24,AG,华泰期货,12022,145,5372,-114,7
2026-09-24,AG,永安期货,8852,-498,7135,500,8
2026-09-24,AG,方正中期,12383,1987,2484,-712,9
2026-09-24,AG,广发期货,8703,-823,5291,300,10
2026-09-24,AG,平安期货,11794,573,0,0,11
2026-09-24,AG,中银期货,0,0,10776,-217,12
2026-09-24,AG,中财期货,10562,-621,0,0,13
2026-09-24,AG,光大期货,7250,-367,3257,-642,14
2026-09-24,AG,铜冠金源,6532,295,3360,46,15
2026-09-24,AG,中信建投,9604,99,0,0,16
2026-09-24,AG,国元期货,7975,126,0,0,17
2026-09-24,AG,中泰期货,5359,799,844,-341,18
2026-09-24,AG,浙商期货,1611,101,4588,-106,19
2026-09-24,AG,瑞达期货,2816,-314,3378,187,20
2026-09-24,AL,中信期货,70097,-2487,74617,-1382,1
