date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-07-27,OI,中信建投,62048,756,69478,-645,1
2026-07-27,OI,中粮期货,22598,888,89029,-2509,2
2026-07-27,OI,中信期货,59227,-3612,49543,-871,3
2026-07-27,OI,国投安信,22789,-1668,70630,-905,4
2026-07-27,OI,国泰君安,39852,-4918,20562,-1006,5
2026-07-27,OI,华泰期货,25154,-956,33987,-1846,6
2026-07-27,OI,东证期货,32867,-7281,25257,447,7
2026-07-27,OI,乾坤期货,57099,-5164,0,0,8
2026-07-27,OI,摩根大通,45863,-3003,8052,3626,9
2026-07-27,OI,浙商期货,11827,-6,35595,-3100,10
2026-07-27,OI,南华期货,12572,10,17957,-729,11
2026-07-27,OI,一德期货,21190,-1244,7374,-571,12
2026-07-27,OI,五矿期货,14104,-16,13272,-385,13
2026-07-27,OI,银河期货,11737,2520,11160,-2586,14
2026-07-27,OI,广发期货,12241,-1154,6492,-391,15
2026-07-27,OI,中投天琪,15264,-1913,0,0,16
2026-07-27,OI,瑞银期货,11551,-3,0,0,17
2026-07-27,OI,鲁证期货,3345,603,7271,-153,18
2026-07-27,OI,国富期货,4303,-445,6030,-409,19
2026-07-27,OI,方正中期,4318,-293,5119,-1764,20
2026-07-27,P,国泰君安,92420,-2834,82994,-5662,1
2026-07-27,P,东证期货,45798,-4784,50675,38,2
2026-07-27,P,一德期货,53163,-5830,41745,20,3
2026-07-27,P,中信期货,31294,-4144,56073,-3092,4
2026-07-27,P,中粮期货,28363,1758,41331,-1067,5
2026-07-27,P,海通期货,25623,-992,33863,-435,6
2026-07-27,P,摩根大通,28277,-2168,19217,1771,7
2026-07-27,P,中信建投,20093,-271,26965,-1234,8
2026-07-27,P,国投期货,25762,706,20387,-733,9
2026-07-27,P,华泰期货,22536,-1461,18834,-1440,10
2026-07-27,P,招商期货,23681,-320,14124,-881,11
2026-07-27,P,广发期货,19497,675,18303,-842,12
2026-07-27,P,国富期货,9493,-514,25762,-124,13
2026-07-27,P,永安期货,21595,-441,12134,-959,14
2026-07-27,P,银河期货,16566,2535,12148,-2397,15
2026-07-27,P,乾坤期货,809,39,27191,7572,16
2026-07-27,P,浙商期货,5754,30,13910,-345,17
2026-07-27,P,五矿期货,18092,338,51,0,18
2026-07-27,P,国贸期货,0,0,17693,-139,19
2026-07-27,P,中金财富,4250,-490,13045,-1226,20
2026-07-27,Y,中粮期货,39608,6390,237717,-3944,1
2026-07-27,Y,国泰君安,136854,-5841,83421,-1056,2
2026-07-27,Y,国投期货,26470,796,118742,-3546,3
2026-07-27,Y,东证期货,64152,-2779,67798,-1428,4
2026-07-27,Y,广发期货,43419,-1007,85830,3661,5
2026-07-27,Y,中信期货,62922,-1572,59250,-1819,6
2026-07-27,Y,摩根大通,55574,-8266,31896,1607,7
2026-07-27,Y,海通期货,43350,-5467,41378,429,8
2026-07-27,Y,中信建投,30241,445,28843,-1250,9
2026-07-27,Y,招商期货,29703,-29,27850,472,10
2026-07-27,Y,宏源期货,18956,556,37982,390,11
2026-07-27,Y,永安期货,27792,1077,26181,-60,12
2026-07-27,Y,乾坤期货,41033,-2656,4558,2135,13
2026-07-27,Y,一德期货,26838,-3030,14048,-682,14
2026-07-27,Y,华泰期货,21937,198,18945,486,15
2026-07-27,Y,南华期货,22724,2536,17919,976,16
2026-07-27,Y,中泰期货,18969,744,14814,-454,17
2026-07-27,Y,建信期货,14367,1538,14140,-377,18
2026-07-27,Y,浙商期货,22615,365,4660,-184,19
2026-07-27,Y,银河期货,19889,-618,6840,-1156,20
2026-07-28,OI,中信建投,60602,-1446,65445,-4033,1
2026-07-28,OI,中粮期货,22303,-295,87216,-1813,2
2026-07-28,OI,中信期货,56200,-3027,47742,-1801,3
2026-07-28,OI,国投安信,22111,-678,71621,991,4
2026-07-28,OI,华泰期货,24861,-293,33518,-469,5
2026-07-28,OI,国泰君安,35710,-4142,20597,35,6
2026-07-28,OI,东证期货,28858,-4009,22716,-2541,7
2026-07-28,OI,乾坤期货,50865,-6234,0,0,8
2026-07-28,OI,摩根大通,42421,-3442,6526,-1526,9
2026-07-28,OI,浙商期货,12283,303,34643,-952,10
2026-07-28,OI,一德期货,23223,2033,8476,1102,11
2026-07-28,OI,南华期货,12618,46,17819,-138,12
2026-07-28,OI,五矿期货,12520,63,13682,410,13
2026-07-28,OI,银河期货,11486,-251,9037,-1494,14
2026-07-28,OI,广发期货,9165,-93,6284,-208,15
2026-07-28,OI,中投天琪,14622,-642,0,0,16
2026-07-28,OI,鲁证期货,6105,354,7536,265,17
2026-07-28,OI,瑞银期货,10623,-929,0,0,18
2026-07-28,OI,国富期货,3822,-481,5243,-787,19
2026-07-28,OI,方正中期,2995,-900,4350,-769,20
2026-07-28,P,国泰君安,91069,-1351,78856,-4138,1
2026-07-28,P,东证期货,45425,-373,51068,393,2
2026-07-28,P,一德期货,54111,948,40229,-1516,3
2026-07-28,P,中信期货,29663,-1631,60577,4504,4
2026-07-28,P,中粮期货,32176,3106,41462,131,5
2026-07-28,P,海通期货,26527,904,43196,7565,6
2026-07-28,P,中信建投,20627,534,26362,-603,7
2026-07-28,P,华泰期货,23918,1382,18770,-64,8
2026-07-28,P,国投期货,21950,55,19517,-870,9
2026-07-28,P,摩根大通,20780,-6046,18848,-334,10
2026-07-28,P,广发期货,21006,1499,18452,173,11
2026-07-28,P,国富期货,9433,-60,25885,123,12
2026-07-28,P,乾坤期货,3548,626,31756,4565,13
2026-07-28,P,招商期货,22962,-719,11536,40,14
2026-07-28,P,永安期货,22105,510,11005,-1129,15
2026-07-28,P,银河期货,12905,-2910,11752,-396,16
2026-07-28,P,中金财富,5002,-31,15004,1959,17
2026-07-28,P,国贸期货,0,0,18117,424,18
2026-07-28,P,五矿期货,17856,-236,51,0,19
2026-07-28,P,瑞达期货,7715,87,8204,-19,20
2026-07-28,Y,中粮期货,47921,8313,231521,-6196,1
2026-07-28,Y,国泰君安,135486,-1368,89507,6086,2
2026-07-28,Y,国投期货,27715,1245,114888,-3854,3
2026-07-28,Y,东证期货,63882,-270,71277,3479,4
2026-07-28,Y,广发期货,42620,-799,87315,1485,5
2026-07-28,Y,中信期货,60435,-2487,62068,2818,6
2026-07-28,Y,海通期货,54452,9303,41558,180,7
2026-07-28,Y,摩根大通,53499,-2075,29936,-1960,8
2026-07-28,Y,宏源期货,19273,317,38068,86,9
2026-07-28,Y,永安期货,28478,686,27652,1471,10
2026-07-28,Y,中信建投,30038,-203,24195,45,11
2026-07-28,Y,招商期货,24931,183,28629,779,12
2026-07-28,Y,乾坤期货,37332,-3701,10830,6246,13
2026-07-28,Y,华泰期货,22836,887,20146,1201,14
2026-07-28,Y,南华期货,23027,303,17941,22,15
2026-07-28,Y,一德期货,25138,-1700,11644,-2404,16
2026-07-28,Y,中泰期货,19573,585,14052,-762,17
2026-07-28,Y,建信期货,15870,1484,12848,-1292,18
2026-07-28,Y,银河期货,20270,381,7142,18,19
2026-07-28,Y,西部期货,24077,2,0,0,20
2026-07-29,OI,中信建投,56735,-3867,62194,-3251,1
2026-07-29,OI,中粮期货,21594,-709,85086,-2130,2
2026-07-29,OI,中信期货,56509,309,48170,428,3
2026-07-29,OI,国投安信,22104,-7,69281,-2340,4
2026-07-29,OI,华泰期货,24125,-736,33231,-287,5
2026-07-29,OI,国泰君安,34570,-1140,20833,236,6
2026-07-29,OI,乾坤期货,50283,-582,0,0,7
2026-07-29,OI,东证期货,25402,-3456,22784,68,8
2026-07-29,OI,浙商期货,12464,340,34486,-157,9
2026-07-29,OI,摩根大通,39863,-2558,5660,-866,10
2026-07-29,OI,南华期货,12666,48,18707,-86,11
2026-07-29,OI,一德期货,23221,-2,7065,-1411,12
2026-07-29,OI,五矿期货,14429,682,14576,894,13
2026-07-29,OI,银河期货,10557,-929,6881,-610,14
2026-07-29,OI,广发期货,8752,-413,6345,61,15
2026-07-29,OI,中投天琪,13204,-1418,0,0,16
2026-07-29,OI,瑞银期货,10557,-66,0,0,17
2026-07-29,OI,创元期货,4702,316,2628,938,18
2026-07-29,OI,国富期货,2487,-1335,3865,-1378,19
2026-07-29,OI,招商期货,0,0,6301,-282,20
2026-07-29,P,国泰君安,94223,3154,76078,-2778,1
2026-07-29,P,东证期货,48551,3126,58996,7928,2
2026-07-29,P,中信期货,31488,1825,61829,1252,3
2026-07-29,P,一德期货,52221,-1800,40452,223,4
2026-07-29,P,中粮期货,32636,1391,43060,1598,5
2026-07-29,P,海通期货,26403,-124,31850,-11346,6
2026-07-29,P,中信建投,21159,532,26681,319,7
2026-07-29,P,国投期货,26757,1364,18205,-1312,8
2026-07-29,P,华泰期货,23749,-169,20676,1384,9
2026-07-29,P,国富期货,9082,-351,26572,687,10
2026-07-29,P,招商期货,23140,178,11836,300,11
2026-07-29,P,摩根大通,20123,-657,14751,-4097,12
2026-07-29,P,永安期货,22019,-86,11370,365,13
2026-07-29,P,广发期货,19908,-1098,12002,-629,14
2026-07-29,P,银河期货,13869,191,14037,2246,15
2026-07-29,P,乾坤期货,0,0,24672,-3412,16
2026-07-29,P,中金财富,5946,944,16062,1056,17
2026-07-29,P,五矿期货,18561,693,0,0,18
2026-07-29,P,国贸期货,0,0,17973,-144,19
2026-07-29,P,浙商期货,6568,-120,9703,7674,20
2026-07-29,Y,中粮期货,52253,4332,229880,-1641,1
2026-07-29,Y,国泰君安,136896,1410,87701,-1806,2
2026-07-29,Y,国投期货,30826,3111,112636,-2252,3
2026-07-29,Y,东证期货,64947,1065,74020,2743,4
2026-07-29,Y,广发期货,42309,-311,88549,1234,5
2026-07-29,Y,中信期货,59250,-1185,65082,3014,6
2026-07-29,Y,海通期货,53710,-742,38215,-386,7
2026-07-29,Y,摩根大通,47896,-5603,31183,1247,8
2026-07-29,Y,招商期货,31525,1288,29488,859,9
2026-07-29,Y,宏源期货,19722,449,38718,650,10
2026-07-29,Y,永安期货,29102,624,27115,-537,11
2026-07-29,Y,中信建投,24084,0,24257,62,12
2026-07-29,Y,乾坤期货,32871,-4461,13545,2715,13
2026-07-29,Y,华泰期货,23977,1141,20520,374,14
2026-07-29,Y,南华期货,24965,1938,19331,1390,15
