date,symbol,broker,long_position,long_change,short_position,short_change,rank
2020-05-13,AP,中信期货,15642,-1605,17257,-1691,1
2020-05-13,AP,华泰期货,10696,-422,4968,-225,2
2020-05-13,AP,光大期货,8782,-317,6223,-885,3
2020-05-13,AP,海通期货,7714,321,6775,61,4
2020-05-13,AP,永安期货,6575,-152,7646,-702,5
2020-05-13,AP,东证期货,6740,69,7379,-113,6
2020-05-13,AP,国泰君安,5052,-1117,5983,-224,7
2020-05-13,AP,银河期货,5692,-2457,5095,4,8
2020-05-13,AP,东吴期货,5179,-82,5547,268,9
2020-05-13,AP,鲁证期货,8585,1033,1647,-274,10
2020-05-13,AP,国投安信期货,3974,-210,6185,-192,11
2020-05-13,AP,国富期货,3881,1151,5952,1259,12
2020-05-13,AP,徽商期货,4437,-1401,5101,-867,13
2020-05-13,AP,东海期货,4806,1265,3651,1046,14
2020-05-13,AP,安粮期货,3769,-534,3872,-57,15
2020-05-13,AP,方正中期,4080,-644,3530,-655,16
2020-05-13,AP,中辉期货,5649,-259,1437,-102,17
2020-05-13,AP,中信建投,5468,-468,0,0,18
2020-05-13,AP,长安期货,4230,223,0,0,19
2020-05-13,AP,东方财富,0,0,3930,-1003,20
2020-05-13,RB,None,1138345,953,1128653,1950,1
2020-05-13,RB,永安期货,148367,6529,88180,11304,2
2020-05-13,RB,国泰君安,52380,2090,106360,12406,3
2020-05-13,RB,浙商期货,87111,-1035,66758,-338,4
2020-05-13,RB,银河期货,69446,-3503,74617,-4520,5
2020-05-13,RB,中信期货,83947,-1800,59574,-2142,6
2020-05-13,RB,一德期货,76733,-1693,59078,-2627,7
2020-05-13,RB,方正中期,44389,468,61940,-1648,8
2020-05-13,RB,华泰期货,55821,-12691,39725,-550,9
2020-05-13,RB,东证期货,36475,-2626,55946,1186,10
2020-05-13,RB,中大期货,44523,6731,39519,-681,11
2020-05-13,RB,大地期货,63875,-216,19019,-203,12
2020-05-13,RB,中辉期货,27212,2930,54528,-1715,13
2020-05-13,RB,海通期货,34132,2857,44340,-1595,14
2020-05-13,RB,东海期货,0,0,77951,-1550,15
2020-05-13,RB,广发期货,68168,853,0,0,16
2020-05-13,RB,天风期货,39479,163,25352,-2107,17
2020-05-13,RB,南华期货,31331,201,32834,-3175,18
2020-05-13,RB,五矿经易,49218,815,7340,277,19
2020-05-13,RB,国贸期货,30179,252,20666,951,20
